Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================

  ╔════════════════════════════════════════════════════════╗
  ║  OVERFIT CHECK — single batch, 50 steps                    ║
  ╚════════════════════════════════════════════════════════╝
  step   1/50 [                    ] loss=4.6883  acc=0.023
  step  10/50 [▓▓▓▓                ] loss=2.2377  acc=0.633
  step  20/50 [▓▓▓▓▓▓▓▓            ] loss=0.3020  acc=1.000
  step  30/50 [▓▓▓▓▓▓▓▓▓▓▓▓        ] loss=0.0421  acc=1.000
  step  40/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓    ] loss=0.0167  acc=1.000
  step  50/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓] loss=0.0103  acc=1.000
  ✅ PASS — loss 0.0100 < 0.05, acc 1.000 > 0.90
  Ep  53 | lr 2.8e-04 | train 1.0755 acc 0.691 | test 1.4089 acc 0.6267
  Ep  54 | lr 2.8e-04 | train 1.0546 acc 0.697 | test 1.4029 acc 0.6266
  Ep  55 | lr 2.8e-04 | train 1.0365 acc 0.703 | test 1.3827 acc 0.6257
  Ep  56 | lr 2.8e-04 | train 1.0220 acc 0.705 | test 1.3720 acc 0.6379 ★
  Ep  57 | lr 2.8e-04 | train 1.0109 acc 0.707 | test 1.3648 acc 0.6376
  Ep  58 | lr 2.8e-04 | train 0.9936 acc 0.713 | test 1.4467 acc 0.6183
  Ep  59 | lr 2.8e-04 | train 0.9843 acc 0.716 | test 1.3838 acc 0.6284
  Ep  60 | lr 2.8e-04 | train 0.9672 acc 0.719 | test 1.3654 acc 0.6377
  Ep  61 | lr 2.8e-04 | train 0.9488 acc 0.724 | test 1.4017 acc 0.6296
  Ep  62 | lr 2.8e-04 | train 0.9326 acc 0.731 | test 1.4328 acc 0.6229
  Ep  63 | lr 2.8e-04 | train 0.9306 acc 0.731 | test 1.4083 acc 0.6261
  Ep  64 | lr 2.8e-04 | train 0.9144 acc 0.735 | test 1.3855 acc 0.6373
  Ep  65 | lr 2.7e-04 | train 0.9016 acc 0.738 | test 1.3816 acc 0.6341
